term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
ceremony,8,8.333680570023751e-05,13.550686671837498,8,NN,n,1,{'n'},1,{'NN'},False,ceremoni,ceremoni,ceremony,6,1.222392421336448,0.5238824662870492,0,0,0,0,1,0,1,0,1,0,1
chairman,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,chairman,chairman,chairm,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
challenge,1,1.041710071252969e-05,16.5506866718375,9,VB,v,1,{'v'},1,{'VB'},False,challeng,challeng,challeng,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,0,0,-1
chant,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,chant,chant,chant,1,3.807354922057604,0.2719539230041146,1,1,0,0,1,0,1,0,1,0,1
chaos,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,chao,chao,chao,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
cheer,2,2.083420142505938e-05,15.550686671837498,5,NNP,n,2,"{'n', 'v'}",2,"{'VB', 'NNP'}",False,cheer,cheer,che,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,1,1,1
cheerful,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,cheer,cheer,che,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,1,0,1
cheering,1,1.041710071252969e-05,16.5506866718375,8,VBG,v,1,{'v'},1,{'VBG'},False,cheer,cheer,che,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,0,1
child,40,0.0004166840285011,11.228758576950137,5,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,child,child,child,10,0.4854268271702416,0.346733447978744,0,1,0,0,1,0,1,0,0,0,1
childhood,3,3.1251302137589066e-05,14.965724171116342,9,NN,n,1,{'n'},1,{'NN'},False,childhood,childhood,child,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,0,1
chocolate,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,chocol,chocol,chocol,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,1,1
church,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,church,church,church,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,1,1
clean,8,8.333680570023751e-05,13.550686671837498,5,JJ,j,2,"{'j', 'v'}",2,"{'JJ', 'VB'}",False,clean,clean,cle,5,1.4854268271702418,0.5305095811322292,0,0,0,0,1,0,1,0,0,1,1
clouded,2,2.083420142505938e-05,15.550686671837498,7,VBN,v,1,{'v'},1,{'VBN'},False,cloud,cloud,cloud,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,1,0,0,-1
clumsy,1,1.041710071252969e-05,16.5506866718375,6,JJ,j,1,{'j'},1,{'JJ'},False,clumsi,clumsi,clumsy,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
coexist,2,2.083420142505938e-05,15.550686671837498,7,VB,v,1,{'v'},1,{'VB'},False,coexist,coexist,coex,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
collapse,3,3.1251302137589066e-05,14.965724171116342,8,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NN'}",False,collaps,collaps,collaps,2,2.807354922057604,0.4010507031510862,0,0,1,1,0,1,0,1,0,0,-1
combat,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,combat,combat,comb,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,0,0,-1
commotion,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,commot,commot,commot,2,2.807354922057604,0.4010507031510862,1,0,0,0,0,1,0,0,0,0,-1
companion,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,companion,companion,comp,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,1,1
compensate,1,1.041710071252969e-05,16.5506866718375,10,VB,v,1,{'v'},1,{'VB'},False,compens,compens,compens,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,1,1,1
competition,2,2.083420142505938e-05,15.550686671837498,11,NN,n,1,{'n'},1,{'NN'},False,competit,competit,competit,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,1,0,0,0,0,-1
complain,3,3.1251302137589066e-05,14.965724171116342,8,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NN'}",False,complain,complain,complain,2,2.807354922057604,0.4010507031510862,1,0,0,0,0,1,0,1,0,0,-1
complaint,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,complaint,complaint,complaint,2,2.807354922057604,0.4010507031510862,1,0,0,0,0,1,0,0,0,0,-1
compost,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,compost,compost,compost,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
comrade,4,4.166840285011876e-05,14.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,comrad,comrad,comrad,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,0,1,0,0,1,1
concerned,6,6.250260427517813e-05,13.965724171116342,9,VBN,v,2,"{'j', 'v'}",2,"{'JJ', 'VBN'}",False,concern,concern,concern,4,1.807354922057604,0.5163871205878868,0,0,0,1,0,0,0,1,0,0,0
confident,3,3.1251302137589066e-05,14.965724171116342,9,JJ,j,1,{'j'},1,{'JJ'},False,confid,confid,confid,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
confiscate,1,1.041710071252969e-05,16.5506866718375,10,VB,v,1,{'v'},1,{'VB'},False,confisc,confisc,confisc,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,1,0,0,-1
conflict,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,conflict,conflict,conflict,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
contagion,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,contagion,contagion,cont,1,3.807354922057604,0.2719539230041146,0,1,1,1,0,1,0,0,0,0,-1
contagious,1,1.041710071252969e-05,16.5506866718375,10,JJ,j,1,{'j'},1,{'JJ'},False,contagi,contagi,contagy,1,3.807354922057604,0.2719539230041146,0,0,1,1,0,1,0,0,0,0,-1
contaminated,1,1.041710071252969e-05,16.5506866718375,12,VBN,v,1,{'v'},1,{'VBN'},False,contamin,contamin,contamin,1,3.807354922057604,0.2719539230041146,0,0,1,1,0,1,0,1,0,0,-1
content,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,content,content,cont,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,1,1
continue,12,0.0001250052085503,12.965724171116342,8,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,continu,continu,continu,8,0.8073549220576041,0.4613456697472023,0,1,0,0,0,0,1,0,0,1,1
convince,1,1.041710071252969e-05,16.5506866718375,8,VB,v,1,{'v'},1,{'VB'},False,convinc,convinc,convint,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,1,0,0,1,1
counselor,7,7.291970498770782e-05,13.743331749779896,9,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,counselor,counselor,counsel,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
count,4,4.166840285011876e-05,14.550686671837498,5,NN,n,2,"{'v', 'n'}",3,"{'VB', 'NN', 'NNP'}",False,count,count,count,3,2.222392421336448,0.4762269474292389,0,0,0,0,0,0,1,0,0,1,1
coup,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,coup,coup,coup,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,0,0,0,1,0,0
courageous,1,1.041710071252969e-05,16.5506866718375,10,JJ,j,1,{'j'},1,{'JJ'},False,courag,courag,cour,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,0,1,0,0,0,1
court,5,5.208550356264844e-05,14.228758576950137,5,NN,n,1,{'n'},1,{'NN'},False,court,court,court,2,2.807354922057604,0.4010507031510862,1,1,0,1,0,0,0,0,0,0,0
coward,4,4.166840285011876e-05,14.550686671837498,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,coward,coward,coward,3,2.222392421336448,0.4762269474292389,0,0,1,1,0,1,0,1,0,0,-1
cowardly,3,3.1251302137589066e-05,14.965724171116342,8,RB,r,2,"{'j', 'r'}",2,"{'JJ', 'RB'}",False,cowardli,coward,coward,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,1,0,0,0,0,-1
crap,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,crap,crap,crap,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
crash,7,7.291970498770782e-05,13.743331749779896,5,NN,v,2,"{'n', 'v'}",3,"{'VB', 'VBP', 'NN'}",False,crash,crash,crash,5,1.4854268271702418,0.5305095811322292,0,0,0,1,0,1,0,1,1,0,-1
crawl,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,crawl,crawl,crawl,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
crazy,16,0.0001666736114004,12.550686671837498,5,JJ,j,2,"{'j', 'v'}",2,"{'JJ', 'VBP'}",False,crazi,crazi,crazy,9,0.6374299206152918,0.4097763775384019,1,0,0,1,0,1,0,1,0,0,-1
cream,4,4.166840285011876e-05,14.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,cream,cream,cream,3,2.222392421336448,0.4762269474292389,0,1,0,0,1,0,1,0,1,0,1
create,2,2.083420142505938e-05,15.550686671837498,6,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,creat,creat,cre,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,0,1
creature,2,2.083420142505938e-05,15.550686671837498,8,NN,n,1,{'n'},1,{'NN'},False,creatur,creatur,cre,2,2.807354922057604,0.4010507031510862,0,0,1,1,0,1,0,0,0,0,-1
credit,5,5.208550356264844e-05,14.228758576950137,6,NN,n,1,{'n'},1,{'NN'},False,credit,credit,credit,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,0,1,0,0,1,1
crime,3,3.1251302137589066e-05,14.965724171116342,5,NN,n,1,{'n'},1,{'NN'},False,crime,crime,crim,3,2.222392421336448,0.4762269474292389,1,0,0,0,0,1,0,0,0,0,-1
criminal,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,crimin,crimin,crimin,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,0,0,0,-1
cross,3,3.1251302137589066e-05,14.965724171116342,5,VBP,v,1,{'v'},2,"{'VB', 'VBP'}",False,cross,cross,cross,3,2.222392421336448,0.4762269474292389,1,0,0,1,0,1,0,1,0,0,-1
crucial,1,1.041710071252969e-05,16.5506866718375,7,JJ,j,1,{'j'},1,{'JJ'},False,crucial,crucial,cruc,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
cruel,7,7.291970498770782e-05,13.743331749779896,5,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,cruel,cruel,cruel,6,1.222392421336448,0.5238824662870492,1,0,1,1,0,1,0,1,0,0,-1
cry,24,0.0002500104171007,11.965724171116342,3,VB,n,2,"{'n', 'v'}",3,"{'VB', 'NN', 'NNP'}",False,cri,cri,cry,12,0.222392421336448,0.1906220754312411,0,0,0,0,0,1,0,1,0,0,-1
crying,8,8.333680570023751e-05,13.550686671837498,6,VBG,v,2,"{'n', 'v'}",2,"{'VBG', 'NN'}",False,cri,cri,cry,7,1.0,0.5,0,0,0,0,0,1,0,1,0,0,-1
cuddle,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,cuddl,cuddl,cuddl,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,1,1
cult,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,cult,cult,cult,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,0,0,0,-1
cunning,1,1.041710071252969e-05,16.5506866718375,7,VBG,v,1,{'v'},1,{'VBG'},False,cun,cun,cun,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,1,0,0,0,0
curse,23,0.0002395933163881,12.027124715780486,5,NN,n,2,"{'v', 'n'}",2,"{'VBP', 'NN'}",False,curs,curs,curs,4,1.807354922057604,0.5163871205878868,1,0,1,1,0,1,0,1,0,0,-1
cursed,5,5.208550356264844e-05,14.228758576950137,6,VBN,v,2,"{'j', 'v'}",2,"{'JJ', 'VBN'}",False,curs,curs,curs,2,2.807354922057604,0.4010507031510862,1,0,0,1,0,1,0,1,0,0,-1
cutter,4,4.166840285011876e-05,14.550686671837498,6,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,cutter,cutter,cut,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,0,0,0,-1
damage,2,2.083420142505938e-05,15.550686671837498,6,NN,n,2,"{'v', 'n'}",2,"{'VB', 'NN'}",False,damag,damag,dam,2,2.807354922057604,0.4010507031510862,1,0,1,0,0,1,0,1,0,0,-1
damn,20,0.0002083420142505,12.228758576950137,4,NNP,n,2,"{'v', 'n'}",4,"{'VB', 'NN', 'VBZ', 'NNP'}",False,damn,damn,damn,5,1.4854268271702418,0.5305095811322292,1,0,1,0,0,1,0,0,0,0,-1
dance,3,3.1251302137589066e-05,14.965724171116342,5,NN,n,1,{'n'},1,{'NN'},False,danc,danc,dant,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
dandy,1,1.041710071252969e-05,16.5506866718375,5,NNP,n,1,{'n'},1,{'NNP'},False,dandi,dandi,dandy,1,3.807354922057604,0.2719539230041146,0,0,1,0,0,1,0,0,0,0,-1
danger,4,4.166840285011876e-05,14.550686671837498,6,NN,n,1,{'n'},1,{'NN'},False,danger,danger,dang,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,1,0,1,0,0,-1
dangerous,19,0.000197924913538,12.302759158393911,9,JJ,j,1,{'j'},1,{'JJ'},False,danger,danger,dang,9,0.6374299206152918,0.4097763775384019,0,0,0,1,0,1,0,0,0,0,-1
dare,2,2.083420142505938e-05,15.550686671837498,4,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,dare,dare,dar,2,2.807354922057604,0.4010507031510862,0,1,0,0,0,0,0,0,0,1,0
darkness,2,2.083420142505938e-05,15.550686671837498,8,NN,n,1,{'n'},1,{'NN'},False,dark,dark,dark,2,2.807354922057604,0.4010507031510862,1,0,0,1,0,1,0,1,0,0,-1
darling,4,4.166840285011876e-05,14.550686671837498,7,VBG,v,1,{'v'},1,{'VBG'},False,darl,darl,darl,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
dashed,1,1.041710071252969e-05,16.5506866718375,6,VBN,v,1,{'v'},1,{'VBN'},False,dash,dash,dash,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
daughter,12,0.0001250052085503,12.965724171116342,8,NN,n,1,{'n'},1,{'NN'},False,daughter,daughter,daught,6,1.222392421336448,0.5238824662870492,0,0,0,0,1,0,1,0,0,0,1
dawn,3,3.1251302137589066e-05,14.965724171116342,4,NN,n,2,"{'v', 'n'}",2,"{'NN', 'VBN'}",False,dawn,dawn,dawn,3,2.222392421336448,0.4762269474292389,0,1,0,0,1,0,1,0,1,1,1
deadly,1,1.041710071252969e-05,16.5506866718375,6,RB,r,1,{'r'},1,{'RB'},False,deadli,dead,dead,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
deal,14,0.0001458394099754,12.743331749779896,4,NN,n,2,"{'v', 'n'}",2,"{'VB', 'NN'}",False,deal,deal,deal,7,1.0,0.5,0,1,0,0,1,0,1,0,1,1,1
death,17,0.000177090712113,12.46322383058716,5,NN,n,1,{'n'},1,{'NN'},False,death,death,dea,6,1.222392421336448,0.5238824662870492,1,1,1,1,0,1,0,1,1,0,-1
debt,5,5.208550356264844e-05,14.228758576950137,4,NN,n,1,{'n'},1,{'NN'},False,debt,debt,debt,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
decay,1,1.041710071252969e-05,16.5506866718375,5,VB,v,1,{'v'},1,{'VB'},False,decay,decay,decay,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,1,0,0,-1
deceived,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,deceiv,deceiv,deceiv,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
defeated,4,4.166840285011876e-05,14.550686671837498,8,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,defeat,defeat,def,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,1,0,0,-1
defend,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,defend,defend,defend,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,0,1,0,0,0,1
defense,1,1.041710071252969e-05,16.5506866718375,7,NNP,n,1,{'n'},1,{'NNP'},False,defens,defens,defens,1,3.807354922057604,0.2719539230041146,1,1,0,1,0,0,1,0,0,0,1
delay,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,delay,delay,delay,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,1,0,0,-1
delicious,12,0.0001250052085503,12.965724171116342,9,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,delici,delici,delicy,6,1.222392421336448,0.5238824662870492,0,0,0,0,1,0,1,0,0,0,1
delighted,1,1.041710071252969e-05,16.5506866718375,9,JJ,j,1,{'j'},1,{'JJ'},False,delight,delight,delight,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,1,0,1
delightful,2,2.083420142505938e-05,15.550686671837498,10,JJ,j,1,{'j'},1,{'JJ'},False,delight,delight,delight,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,0,1,1
delinquent,2,2.083420142505938e-05,15.550686671837498,10,NN,n,1,{'n'},1,{'NN'},False,delinqu,delinqu,delinqu,1,3.807354922057604,0.2719539230041146,1,0,1,0,0,1,0,0,0,0,-1
delivery,10,0.0001041710071252,13.228758576950137,8,NN,n,1,{'n'},1,{'NN'},False,deliveri,deliveri,delivery,2,2.807354922057604,0.4010507031510862,0,1,0,0,0,0,1,0,0,0,1
demand,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,demand,demand,demand,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
demolish,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,demolish,demolish,demol,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,1,0,0,-1
demon,14,0.0001458394099754,12.743331749779896,5,NN,n,1,{'n'},1,{'NN'},False,demon,demon,demon,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,1,0,0,-1
denied,1,1.041710071252969e-05,16.5506866718375,6,VBN,v,1,{'v'},1,{'VBN'},False,deni,deni,deny,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,1,0,0,-1
deny,2,2.083420142505938e-05,15.550686671837498,4,NN,n,2,"{'n', 'v'}",2,"{'VBP', 'NN'}",False,deni,deni,deny,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
depart,3,3.1251302137589066e-05,14.965724171116342,6,VB,v,1,{'v'},1,{'VB'},False,depart,depart,depart,2,2.807354922057604,0.4010507031510862,0,1,0,0,0,0,0,1,0,0,0
departed,2,2.083420142505938e-05,15.550686671837498,8,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,depart,depart,depart,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
departure,5,5.208550356264844e-05,14.228758576950137,9,NN,n,1,{'n'},1,{'NN'},False,departur,departur,depart,3,2.222392421336448,0.4762269474292389,0,0,0,0,0,1,0,1,0,0,-1
depressing,3,3.1251302137589066e-05,14.965724171116342,10,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,depress,depress,depress,2,2.807354922057604,0.4010507031510862,0,0,1,0,0,1,0,1,0,0,-1
depression,2,2.083420142505938e-05,15.550686671837498,10,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,depress,depress,depress,2,2.807354922057604,0.4010507031510862,0,0,0,0,0,1,0,1,0,0,-1
deranged,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,derang,derang,derang,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,0,0,0,-1
desert,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,desert,desert,desert,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
deserted,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,desert,desert,desert,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
deserve,1,1.041710071252969e-05,16.5506866718375,7,VB,v,1,{'v'},1,{'VB'},False,deserv,deserv,deserv,1,3.807354922057604,0.2719539230041146,1,1,0,0,0,0,1,0,0,1,1
despair,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,despair,despair,despair,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
destination,2,2.083420142505938e-05,15.550686671837498,11,NN,n,1,{'n'},1,{'NN'},False,destin,destin,destin,1,3.807354922057604,0.2719539230041146,0,1,0,1,1,0,1,1,1,0,1
destroyed,17,0.000177090712113,12.46322383058716,9,VBN,v,1,{'v'},2,"{'VBN', 'VBD'}",False,destroy,destroy,destroy,4,1.807354922057604,0.5163871205878868,1,0,0,1,0,1,0,1,0,0,-1
destroying,5,5.208550356264844e-05,14.228758576950137,10,VBG,v,1,{'v'},1,{'VBG'},False,destroy,destroy,destroy,4,1.807354922057604,0.5163871205878868,1,0,0,1,0,1,0,1,0,0,-1
destruction,7,7.291970498770782e-05,13.743331749779896,11,NN,n,1,{'n'},1,{'NN'},False,destruct,destruct,destruct,4,1.807354922057604,0.5163871205878868,1,0,0,0,0,1,0,0,0,0,-1
destructive,1,1.041710071252969e-05,16.5506866718375,11,JJ,j,1,{'j'},1,{'JJ'},False,destruct,destruct,destruct,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,0,0,0,-1
determination,1,1.041710071252969e-05,16.5506866718375,13,NN,n,1,{'n'},1,{'NN'},False,determin,determin,determin,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
devastation,2,2.083420142505938e-05,15.550686671837498,11,NN,n,1,{'n'},1,{'NN'},False,devast,devast,devast,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,1,0,-1
develop,1,1.041710071252969e-05,16.5506866718375,7,VBP,v,1,{'v'},1,{'VBP'},False,develop,develop,develop,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,1,0,0,0,1
devil,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,devil,devil,devil,1,3.807354922057604,0.2719539230041146,1,1,1,1,0,1,0,1,0,0,-1
dictionary,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,dictionari,dictionari,dict,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
die,45,0.0004687695320638,11.058833575507824,3,VB,v,2,"{'n', 'v'}",3,"{'VB', 'VBP', 'NN'}",False,die,die,die,12,0.222392421336448,0.1906220754312411,0,0,0,1,0,1,0,1,0,0,-1
difficulty,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,difficulti,difficulti,difficul,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
dignity,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,digniti,digniti,dign,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
dirt,7,7.291970498770782e-05,13.743331749779896,4,NN,n,1,{'n'},1,{'NN'},False,dirt,dirt,dirt,2,2.807354922057604,0.4010507031510862,0,0,1,0,0,1,0,0,0,0,-1
dirty,11,0.0001145881078378,13.091255053200202,5,JJ,j,3,"{'j', 'v', 'n'}",5,"{'VBZ', 'VBN', 'NNS', 'JJ', 'NN'}",False,dirti,dirti,dirty,5,1.4854268271702418,0.5305095811322292,0,0,1,0,0,1,0,0,0,0,-1
disappointed,1,1.041710071252969e-05,16.5506866718375,12,VBN,v,1,{'v'},1,{'VBN'},False,disappoint,disappoint,disappoint,1,3.807354922057604,0.2719539230041146,1,0,1,0,0,1,0,1,0,0,-1
disaster,2,2.083420142505938e-05,15.550686671837498,8,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,disast,disast,disast,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,1,0,-1
disastrous,1,1.041710071252969e-05,16.5506866718375,10,JJ,j,1,{'j'},1,{'JJ'},False,disastr,disastr,disast,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,1,0,0,-1
discipline,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,disciplin,disciplin,disciplin,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,0,0,0,-1
discretion,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,discret,discret,discret,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,1,0,0,1,1
disease,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,diseas,diseas,diseas,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,1,0,0,-1
disgust,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,disgust,disgust,disgust,1,3.807354922057604,0.2719539230041146,1,0,1,1,0,1,0,1,0,0,-1
disgusting,4,4.166840285011876e-05,14.550686671837498,10,VBG,v,2,"{'n', 'v'}",2,"{'VBG', 'NN'}",False,disgust,disgust,disgust,2,2.807354922057604,0.4010507031510862,1,0,1,1,0,1,0,0,0,0,-1
disintegrate,1,1.041710071252969e-05,16.5506866718375,12,VB,v,1,{'v'},1,{'VB'},False,disintegr,disintegr,disintegr,1,3.807354922057604,0.2719539230041146,0,0,1,1,0,1,0,0,0,0,-1
dislike,1,1.041710071252969e-05,16.5506866718375,7,VB,v,1,{'v'},1,{'VB'},False,dislik,dislik,dislik,1,3.807354922057604,0.2719539230041146,1,0,1,0,0,1,0,0,0,0,-1
disobedience,1,1.041710071252969e-05,16.5506866718375,12,NN,n,1,{'n'},1,{'NN'},False,disobedi,disobedi,disobedy,1,3.807354922057604,0.2719539230041146,1,0,1,0,0,1,0,0,0,0,-1
