term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf
attacked,9,9.37539064127672e-05,13.380761670395186,8,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,attack,attack,attack,5,1.4854268271702418,0.5305095811322292
attacking,8,8.333680570023751e-05,13.550686671837498,9,VBG,v,1,{'v'},1,{'VBG'},False,attack,attack,attack,4,1.8073549220576042,0.5163871205878868
attacks,1,1.041710071252969e-05,16.5506866718375,7,NNS,n,1,{'n'},1,{'NNS'},False,attack,attack,attack,1,3.807354922057604,0.2719539230041146
attempts,1,1.041710071252969e-05,16.5506866718375,8,NNS,n,1,{'n'},1,{'NNS'},False,attempt,attempt,attempt,1,3.807354922057604,0.2719539230041146
attention,13,0.0001354223092628,12.850246953696406,9,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,attent,attent,at,6,1.222392421336448,0.5238824662870492
attitude,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,attitud,attitud,attitud,1,3.807354922057604,0.2719539230041146
attract,1,1.041710071252969e-05,16.5506866718375,7,VBP,v,1,{'v'},1,{'VBP'},False,attract,attract,attract,1,3.807354922057604,0.2719539230041146
audacious,1,1.041710071252969e-05,16.5506866718375,9,JJ,j,1,{'j'},1,{'JJ'},False,audaci,audaci,aud,1,3.807354922057604,0.2719539230041146
audience,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,audienc,audienc,audy,1,3.807354922057604,0.2719539230041146
august,1,1.041710071252969e-05,16.5506866718375,6,NNP,n,1,{'n'},1,{'NNP'},False,august,august,august,1,3.807354922057604,0.2719539230041146
aunt,3,3.1251302137589066e-05,14.965724171116342,4,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,aunt,aunt,aunt,2,2.807354922057604,0.40105070315108626
auntie,14,0.0001458394099754,12.743331749779896,6,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,aunti,aunti,aunty,2,2.807354922057604,0.40105070315108626
aunty,3,3.1251302137589066e-05,14.965724171116342,5,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,aunti,aunti,aunty,1,3.807354922057604,0.2719539230041146
authorities,3,3.1251302137589066e-05,14.965724171116342,11,NNS,n,1,{'n'},1,{'NNS'},False,author,author,auth,2,2.807354922057604,0.40105070315108626
automatically,1,1.041710071252969e-05,16.5506866718375,13,RB,r,1,{'r'},1,{'RB'},False,automat,automat,autom,1,3.807354922057604,0.2719539230041146
automobile,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,automobil,automobil,automobl,1,3.807354922057604,0.2719539230041146
autumn,10,0.0001041710071252,13.228758576950137,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,autumn,autumn,autumn,2,2.807354922057604,0.40105070315108626
avant,1,1.041710071252969e-05,16.5506866718375,5,JJ,j,1,{'j'},1,{'JJ'},False,avant,avant,av,1,3.807354922057604,0.2719539230041146
avenge,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,aveng,aveng,aveng,1,3.807354922057604,0.2719539230041146
average,1,1.041710071252969e-05,16.5506866718375,7,JJ,j,1,{'j'},1,{'JJ'},False,averag,averag,av,1,3.807354922057604,0.2719539230041146
aviation,2,2.083420142505938e-05,15.550686671837498,8,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,aviat,aviat,avy,2,2.807354922057604,0.40105070315108626
aviators,1,1.041710071252969e-05,16.5506866718375,8,NNS,n,1,{'n'},1,{'NNS'},False,aviat,aviat,avy,1,3.807354922057604,0.2719539230041146
aw,5,5.208550356264844e-05,14.228758576950137,2,NNP,n,2,"{'x', 'n'}",3,"{'NN', 'NNP', 'UH'}",False,aw,aw,aw,2,2.807354922057604,0.40105070315108626
await,1,1.041710071252969e-05,16.5506866718375,5,JJ,j,1,{'j'},1,{'JJ'},False,await,await,await,1,3.807354922057604,0.2719539230041146
awaiting,2,2.083420142505938e-05,15.550686671837498,8,VBG,v,1,{'v'},1,{'VBG'},False,await,await,await,2,2.807354922057604,0.40105070315108626
awaits,1,1.041710071252969e-05,16.5506866718375,6,NNS,n,1,{'n'},1,{'NNS'},False,await,await,await,1,3.807354922057604,0.2719539230041146
awake,2,2.083420142505938e-05,15.550686671837498,5,RB,r,2,"{'r', 'v'}",2,"{'VB', 'RB'}",False,awak,awak,awak,2,2.807354922057604,0.40105070315108626
awakened,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,awaken,awaken,awak,1,3.807354922057604,0.2719539230041146
aware,1,1.041710071252969e-05,16.5506866718375,5,JJ,j,1,{'j'},1,{'JJ'},False,awar,awar,aw,1,3.807354922057604,0.2719539230041146
awawawawa,1,1.041710071252969e-05,16.5506866718375,9,NNP,n,1,{'n'},1,{'NNP'},False,awawawawa,awawawawa,awawawaw,1,3.807354922057604,0.2719539230041146
away,105,0.0010937955748156,9.836441154171377,4,RB,r,4,"{'j', 'r', 'n', 'x'}",4,"{'JJ', 'RB', 'RP', 'NN'}",False,away,away,away,14,0.0,0.0
awesome,3,3.1251302137589066e-05,14.965724171116342,7,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,awesom,awesom,awesom,1,3.807354922057604,0.2719539230041146
awful,2,2.083420142505938e-05,15.550686671837498,5,JJ,j,1,{'j'},1,{'JJ'},False,aw,aw,aw,2,2.807354922057604,0.40105070315108626
awfully,1,1.041710071252969e-05,16.5506866718375,7,RB,r,1,{'r'},1,{'RB'},False,aw,aw,aw,1,3.807354922057604,0.2719539230041146
awhile,4,4.166840285011876e-05,14.550686671837498,6,NN,n,1,{'n'},1,{'NN'},False,awhil,awhil,awhil,2,2.807354922057604,0.40105070315108626
axed,1,1.041710071252969e-05,16.5506866718375,4,VBD,v,1,{'v'},1,{'VBD'},False,axe,axe,ax,1,3.807354922057604,0.2719539230041146
axes,1,1.041710071252969e-05,16.5506866718375,4,NNS,n,1,{'n'},1,{'NNS'},False,axe,axe,ax,1,3.807354922057604,0.2719539230041146
ayabe,1,1.041710071252969e-05,16.5506866718375,5,NNP,n,1,{'n'},1,{'NNP'},False,ayab,ayab,ayab,1,3.807354922057604,0.2719539230041146
ayeaye,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,ayeay,ayeay,ayeay,1,3.807354922057604,0.2719539230041146
b,1,1.041710071252969e-05,16.5506866718375,1,NNP,n,1,{'n'},1,{'NNP'},False,b,b,b,1,3.807354922057604,0.2719539230041146
ba,13,0.0001354223092628,12.850246953696406,2,NNP,n,1,{'n'},1,{'NNP'},False,ba,ba,ba,1,3.807354922057604,0.2719539230041146
babababa,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,babababa,babababa,bababab,1,3.807354922057604,0.2719539230041146
bababababa,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,bababababa,bababababa,babababab,1,3.807354922057604,0.2719539230041146
babble,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,babbl,babbl,babbl,1,3.807354922057604,0.2719539230041146
babbling,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,babbl,babbl,babbl,1,3.807354922057604,0.2719539230041146
baby,27,0.0002812617192383,11.79579916967403,4,NN,n,1,{'n'},1,{'NN'},False,babi,babi,baby,11,0.3479233034203068,0.2733683098302411
back,280,0.0029167881995083,8.421403654892533,4,RB,r,5,"{'r', 'n', 'v', 'j', 'x'}",5,"{'JJ', 'VB', 'RP', 'RB', 'NN'}",False,back,back,back,14,0.0,0.0
backed,1,1.041710071252969e-05,16.5506866718375,6,VBN,v,1,{'v'},1,{'VBN'},False,back,back,back,1,3.807354922057604,0.2719539230041146
backing,1,1.041710071252969e-05,16.5506866718375,7,VBG,v,1,{'v'},1,{'VBG'},False,back,back,back,1,3.807354922057604,0.2719539230041146
backs,2,2.083420142505938e-05,15.550686671837498,5,NNS,n,1,{'n'},1,{'NNS'},False,back,back,back,2,2.807354922057604,0.40105070315108626
backstabber,1,1.041710071252969e-05,16.5506866718375,11,NNP,n,1,{'n'},1,{'NNP'},False,backstabb,backstabb,backstab,1,3.807354922057604,0.2719539230041146
backward,2,2.083420142505938e-05,15.550686671837498,8,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,backward,backward,backward,1,3.807354922057604,0.2719539230041146
backwater,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,backwat,backwat,backw,1,3.807354922057604,0.2719539230041146
backwoods,1,1.041710071252969e-05,16.5506866718375,9,NNS,n,1,{'n'},1,{'NNS'},False,backwood,backwood,backwood,1,3.807354922057604,0.2719539230041146
bacon,4,4.166840285011876e-05,14.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,bacon,bacon,bacon,2,2.807354922057604,0.40105070315108626
bad,52,0.0005416892370515,10.850246953696406,3,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NNP'}",False,bad,bad,bad,13,0.10691520391651188,0.09927840363676103
badger,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,badger,badger,badg,1,3.807354922057604,0.2719539230041146
badgers,1,1.041710071252969e-05,16.5506866718375,7,NNS,n,1,{'n'},1,{'NNS'},False,badger,badger,badg,1,3.807354922057604,0.2719539230041146
badly,2,2.083420142505938e-05,15.550686671837498,5,RB,r,1,{'r'},1,{'RB'},False,badli,bad,bad,2,2.807354922057604,0.40105070315108626
bag,11,0.0001145881078378,13.091255053200202,3,NN,n,1,{'n'},1,{'NN'},False,bag,bag,bag,4,1.8073549220576042,0.5163871205878868
baggage,4,4.166840285011876e-05,14.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,baggag,baggag,bag,1,3.807354922057604,0.2719539230041146
bags,2,2.083420142505938e-05,15.550686671837498,4,NNS,n,1,{'n'},1,{'NNS'},False,bag,bag,bag,1,3.807354922057604,0.2719539230041146
bait,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,bait,bait,bait,1,3.807354922057604,0.2719539230041146
bake,2,2.083420142505938e-05,15.550686671837498,4,VB,v,1,{'v'},1,{'VB'},False,bake,bake,bak,1,3.807354922057604,0.2719539230041146
baker,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,baker,baker,bak,1,3.807354922057604,0.2719539230041146
bakery,5,5.208550356264844e-05,14.228758576950137,6,NN,n,1,{'n'},1,{'NN'},False,bakeri,bakeri,bakery,2,2.807354922057604,0.40105070315108626
bal,5,5.208550356264844e-05,14.228758576950137,3,NNP,n,1,{'n'},1,{'NNP'},False,bal,bal,bal,1,3.807354922057604,0.2719539230041146
balance,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,balanc,balanc,bal,2,2.807354922057604,0.40105070315108626
balcony,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,balconi,balconi,balcony,1,3.807354922057604,0.2719539230041146
ball,3,3.1251302137589066e-05,14.965724171116342,4,NN,n,1,{'n'},1,{'NN'},False,ball,ball,bal,2,2.807354922057604,0.40105070315108626
balloon,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,balloon,balloon,balloon,1,3.807354922057604,0.2719539230041146
balls,3,3.1251302137589066e-05,14.965724171116342,5,NNS,n,1,{'n'},1,{'NNS'},False,ball,ball,bal,2,2.807354922057604,0.40105070315108626
balmy,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,balmi,balmi,balmy,1,3.807354922057604,0.2719539230041146
balse,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,bals,bals,bals,1,3.807354922057604,0.2719539230041146
bamboo,54,0.0005625234384766,10.79579916967403,6,NNP,n,2,"{'j', 'n'}",3,"{'JJ', 'NN', 'NNP'}",False,bamboo,bamboo,bamboo,3,2.222392421336448,0.4762269474292389
bambooleaf,1,1.041710071252969e-05,16.5506866718375,10,JJ,j,1,{'j'},1,{'JJ'},False,bambooleaf,bambooleaf,bambooleaf,1,3.807354922057604,0.2719539230041146
ban,1,1.041710071252969e-05,16.5506866718375,3,NNP,n,1,{'n'},1,{'NNP'},False,ban,ban,ban,1,3.807354922057604,0.2719539230041146
banana,4,4.166840285011876e-05,14.550686671837498,6,NN,n,1,{'n'},1,{'NN'},False,banana,banana,banan,1,3.807354922057604,0.2719539230041146
bananas,1,1.041710071252969e-05,16.5506866718375,7,NNS,n,1,{'n'},1,{'NNS'},False,banana,banana,banana,1,3.807354922057604,0.2719539230041146
banchan,1,1.041710071252969e-05,16.5506866718375,7,NNP,n,1,{'n'},1,{'NNP'},False,banchan,banchan,banch,1,3.807354922057604,0.2719539230041146
band,1,1.041710071252969e-05,16.5506866718375,4,NNP,n,1,{'n'},1,{'NNP'},False,band,band,band,1,3.807354922057604,0.2719539230041146
banished,1,1.041710071252969e-05,16.5506866718375,8,VBD,v,1,{'v'},1,{'VBD'},False,banish,banish,ban,1,3.807354922057604,0.2719539230041146
bank,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,bank,bank,bank,2,2.807354922057604,0.40105070315108626
banker,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,banker,banker,bank,1,3.807354922057604,0.2719539230041146
bankrupt,2,2.083420142505938e-05,15.550686671837498,8,NNS,n,2,"{'n', 'v'}",2,"{'VB', 'NNS'}",False,bankrupt,bankrupt,bankrupt,2,2.807354922057604,0.40105070315108626
bankruptcy,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,bankruptci,bankruptci,bankruptcy,1,3.807354922057604,0.2719539230041146
banquet,7,7.291970498770782e-05,13.743331749779896,7,NN,n,1,{'n'},1,{'NN'},False,banquet,banquet,banquet,1,3.807354922057604,0.2719539230041146
banzai,3,3.1251302137589066e-05,14.965724171116342,6,NNP,n,1,{'n'},2,"{'NN', 'NNP'}",False,banzai,banzai,banza,2,2.807354922057604,0.40105070315108626
bar,2,2.083420142505938e-05,15.550686671837498,3,NN,n,1,{'n'},1,{'NN'},False,bar,bar,bar,1,3.807354922057604,0.2719539230041146
barbie,1,1.041710071252969e-05,16.5506866718375,6,NNP,n,1,{'n'},1,{'NNP'},False,barbi,barbi,barby,1,3.807354922057604,0.2719539230041146
barbiesan,1,1.041710071252969e-05,16.5506866718375,9,NNP,n,1,{'n'},1,{'NNP'},False,barbiesan,barbiesan,barby,1,3.807354922057604,0.2719539230041146
bare,2,2.083420142505938e-05,15.550686671837498,4,NN,n,1,{'n'},1,{'NN'},False,bare,bare,bar,2,2.807354922057604,0.40105070315108626
barefoot,1,1.041710071252969e-05,16.5506866718375,8,NNP,n,1,{'n'},1,{'NNP'},False,barefoot,barefoot,barefoot,1,3.807354922057604,0.2719539230041146
barely,4,4.166840285011876e-05,14.550686671837498,6,RB,r,1,{'r'},1,{'RB'},False,bare,bare,bar,3,2.222392421336448,0.4762269474292389
bargain,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,bargain,bargain,bargain,2,2.807354922057604,0.40105070315108626
barge,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,barg,barg,barg,1,3.807354922057604,0.2719539230041146
barged,1,1.041710071252969e-05,16.5506866718375,6,VBD,v,1,{'v'},1,{'VBD'},False,barg,barg,barg,1,3.807354922057604,0.2719539230041146
bark,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,bark,bark,bark,1,3.807354922057604,0.2719539230041146
barleyrice,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,barleyric,barleyric,barleyr,1,3.807354922057604,0.2719539230041146
barometer,1,1.041710071252969e-05,16.5506866718375,9,NN,n,1,{'n'},1,{'NN'},False,baromet,baromet,baromet,1,3.807354922057604,0.2719539230041146
barracks,1,1.041710071252969e-05,16.5506866718375,8,NNS,n,1,{'n'},1,{'NNS'},False,barrack,barrack,barrack,1,3.807354922057604,0.2719539230041146
barrier,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,barrier,barrier,barry,1,3.807354922057604,0.2719539230041146
bars,1,1.041710071252969e-05,16.5506866718375,4,NNS,n,1,{'n'},1,{'NNS'},False,bar,bar,bar,1,3.807354922057604,0.2719539230041146
bartering,1,1.041710071252969e-05,16.5506866718375,9,VBG,v,1,{'v'},1,{'VBG'},False,barter,barter,bart,1,3.807354922057604,0.2719539230041146
baseball,2,2.083420142505938e-05,15.550686671837498,8,NN,n,1,{'n'},1,{'NN'},False,basebal,basebal,basebal,1,3.807354922057604,0.2719539230041146
basho,1,1.041710071252969e-05,16.5506866718375,5,NNP,n,1,{'n'},1,{'NNP'},False,basho,basho,basho,1,3.807354922057604,0.2719539230041146
basic,4,4.166840285011876e-05,14.550686671837498,5,JJ,j,1,{'j'},1,{'JJ'},False,basic,basic,bas,2,2.807354922057604,0.40105070315108626
basket,3,3.1251302137589066e-05,14.965724171116342,6,NN,n,1,{'n'},1,{'NN'},False,basket,basket,basket,2,2.807354922057604,0.40105070315108626
bastard,5,5.208550356264844e-05,14.228758576950137,7,VBP,v,2,"{'n', 'v'}",2,"{'VBP', 'NN'}",False,bastard,bastard,bastard,2,2.807354922057604,0.40105070315108626
bastards,1,1.041710071252969e-05,16.5506866718375,8,NNS,n,1,{'n'},1,{'NNS'},False,bastard,bastard,bastard,1,3.807354922057604,0.2719539230041146
batch,1,1.041710071252969e-05,16.5506866718375,5,NN,n,1,{'n'},1,{'NN'},False,batch,batch,batch,1,3.807354922057604,0.2719539230041146
bath,34,0.000354181424226,11.46322383058716,4,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,bath,bath,bath,8,0.8073549220576041,0.4613456697472023
bathe,2,2.083420142505938e-05,15.550686671837498,5,VB,v,1,{'v'},1,{'VB'},False,bath,bath,bath,1,3.807354922057604,0.2719539230041146
bathhouse,6,6.250260427517813e-05,13.965724171116342,9,NN,n,1,{'n'},1,{'NN'},False,bathhous,bathhous,bathh,1,3.807354922057604,0.2719539230041146
bathing,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,bath,bath,bath,1,3.807354922057604,0.2719539230041146
bathroom,5,5.208550356264844e-05,14.228758576950137,8,NN,n,1,{'n'},1,{'NN'},False,bathroom,bathroom,bathroom,3,2.222392421336448,0.4762269474292389
baths,4,4.166840285011876e-05,14.550686671837498,5,NNS,n,1,{'n'},1,{'NNS'},False,bath,bath,bath,2,2.807354922057604,0.40105070315108626
batter,2,2.083420142505938e-05,15.550686671837498,6,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,batter,batter,bat,2,2.807354922057604,0.40105070315108626
battered,1,1.041710071252969e-05,16.5506866718375,8,VBN,v,1,{'v'},1,{'VBN'},False,batter,batter,bat,1,3.807354922057604,0.2719539230041146
battle,17,0.000177090712113,12.46322383058716,6,NN,n,1,{'n'},1,{'NN'},False,battl,battl,battl,6,1.222392421336448,0.5238824662870492
battleship,3,3.1251302137589066e-05,14.965724171116342,10,NN,n,1,{'n'},1,{'NN'},False,battleship,battleship,battl,1,3.807354922057604,0.2719539230041146
bay,1,1.041710071252969e-05,16.5506866718375,3,NN,n,1,{'n'},1,{'NN'},False,bay,bay,bay,1,3.807354922057604,0.2719539230041146
bbbbut,1,1.041710071252969e-05,16.5506866718375,6,NNP,n,1,{'n'},1,{'NNP'},False,bbbbut,bbbbut,bbbbut,1,3.807354922057604,0.2719539230041146
be,663,0.0069065377724071,7.177821611724911,2,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NNP'}",True,be,be,be,14,0.0,0.0
beacon,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,beacon,beacon,beacon,1,3.807354922057604,0.2719539230041146
bean,2,2.083420142505938e-05,15.550686671837498,4,JJ,j,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,bean,bean,bean,1,3.807354922057604,0.2719539230041146
bear,11,0.0001145881078378,13.091255053200202,4,VB,v,4,"{'x', 'j', 'n', 'v'}",5,"{'VBP', 'IN', 'VB', 'JJ', 'NNP'}",False,bear,bear,bear,7,1.0,0.5
bearer,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,bearer,bearer,bear,1,3.807354922057604,0.2719539230041146
beast,4,4.166840285011876e-05,14.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,beast,beast,beast,2,2.807354922057604,0.40105070315108626
beasts,11,0.0001145881078378,13.091255053200202,6,NNS,n,1,{'n'},1,{'NNS'},False,beast,beast,beast,2,2.807354922057604,0.40105070315108626
beat,12,0.0001250052085503,12.965724171116342,4,VB,v,3,"{'x', 'n', 'v'}",6,"{'VBN', 'IN', 'VB', 'NNP', 'NN', 'VBD'}",False,beat,beat,beat,6,1.222392421336448,0.5238824662870492
beaten,3,3.1251302137589066e-05,14.965724171116342,6,JJ,v,2,"{'j', 'v'}",3,"{'JJ', 'VBP', 'VBN'}",False,beaten,beaten,beat,3,2.222392421336448,0.4762269474292389
beating,3,3.1251302137589066e-05,14.965724171116342,7,NN,n,2,"{'v', 'n'}",2,"{'NN', 'VBG'}",False,beat,beat,beat,3,2.222392421336448,0.4762269474292389
beatles,1,1.041710071252969e-05,16.5506866718375,7,NNP,n,1,{'n'},1,{'NNP'},False,beatl,beatl,beatl,1,3.807354922057604,0.2719539230041146
beats,3,3.1251302137589066e-05,14.965724171116342,5,NNS,n,2,"{'v', 'n'}",2,"{'VBZ', 'NNS'}",False,beat,beat,beat,2,2.807354922057604,0.40105070315108626
beautiful,80,0.0008333680570023,10.228758576950137,9,JJ,j,4,"{'x', 'j', 'v', 'n'}",6,"{'IN', 'NNS', 'JJ', 'VB', 'NNP', 'NN'}",False,beauti,beauti,beauty,11,0.3479233034203068,0.2733683098302411
beautifully,3,3.1251302137589066e-05,14.965724171116342,11,RB,r,1,{'r'},1,{'RB'},False,beauti,beauti,beauty,3,2.222392421336448,0.4762269474292389
beauty,6,6.250260427517813e-05,13.965724171116342,6,NN,n,1,{'n'},1,{'NN'},False,beauti,beauti,beauty,3,2.222392421336448,0.4762269474292389
bebefore,1,1.041710071252969e-05,16.5506866718375,8,RB,r,1,{'r'},1,{'RB'},False,bebefor,bebefor,bebef,1,3.807354922057604,0.2719539230041146
became,14,0.0001458394099754,12.743331749779896,6,VBD,v,1,{'v'},1,{'VBD'},False,becam,becam,becam,7,1.0,0.5
because,79,0.0008229509562898,10.246905923660396,7,IN,x,1,{'x'},1,{'IN'},True,becaus,becaus,becaus,12,0.22239242133644802,0.19062207543124116
beckons,1,1.041710071252969e-05,16.5506866718375,7,VBZ,v,1,{'v'},1,{'VBZ'},False,beckon,beckon,beckon,1,3.807354922057604,0.2719539230041146
become,51,0.000531272136339,10.878261329866003,6,VB,v,1,{'v'},3,"{'VB', 'VBP', 'VBN'}",False,becom,becom,becom,13,0.10691520391651188,0.09927840363676103
becomes,1,1.041710071252969e-05,16.5506866718375,7,VBZ,v,1,{'v'},1,{'VBZ'},False,becom,becom,becom,1,3.807354922057604,0.2719539230041146
becoming,6,6.250260427517813e-05,13.965724171116342,8,VBG,v,1,{'v'},1,{'VBG'},False,becom,becom,becom,5,1.4854268271702418,0.5305095811322292
bed,11,0.0001145881078378,13.091255053200202,3,NN,n,2,"{'v', 'n'}",2,"{'NN', 'VBD'}",False,bed,bed,bed,7,1.0,0.5
bedchamber,2,2.083420142505938e-05,15.550686671837498,10,NN,n,1,{'n'},1,{'NN'},False,bedchamb,bedchamb,bedchamb,1,3.807354922057604,0.2719539230041146
bedroom,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,bedroom,bedroom,bedroom,2,2.807354922057604,0.40105070315108626
bedside,1,1.041710071252969e-05,16.5506866718375,7,NN,n,1,{'n'},1,{'NN'},False,bedsid,bedsid,bedsid,1,3.807354922057604,0.2719539230041146
bedtime,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,bedtim,bedtim,bedtim,2,2.807354922057604,0.40105070315108626
beef,1,1.041710071252969e-05,16.5506866718375,4,NN,n,1,{'n'},1,{'NN'},False,beef,beef,beef,1,3.807354922057604,0.2719539230041146
been,123,0.0012813033876411,9.608172166498258,4,VBN,v,1,{'v'},1,{'VBN'},True,been,been,been,14,0.0,0.0
befall,1,1.041710071252969e-05,16.5506866718375,6,VB,v,1,{'v'},1,{'VB'},False,befal,befal,befal,1,3.807354922057604,0.2719539230041146
before,62,0.0006458602441768,10.596490361450623,6,IN,x,3,"{'r', 'n', 'x'}",3,"{'RB', 'NN', 'IN'}",True,befor,befor,bef,14,0.0,0.0
beg,11,0.0001145881078378,13.091255053200202,3,VBP,v,2,"{'n', 'v'}",2,"{'VBP', 'NNP'}",False,beg,beg,beg,4,1.8073549220576042,0.5163871205878868
began,9,9.37539064127672e-05,13.380761670395186,5,VBD,v,1,{'v'},1,{'VBD'},False,began,began,beg,2,2.807354922057604,0.40105070315108626
begged,2,2.083420142505938e-05,15.550686671837498,6,VBD,v,1,{'v'},2,"{'VBN', 'VBD'}",False,beg,beg,beg,2,2.807354922057604,0.40105070315108626
begging,3,3.1251302137589066e-05,14.965724171116342,7,VBG,v,2,"{'n', 'v'}",2,"{'VBG', 'NN'}",False,beg,beg,beg,2,2.807354922057604,0.40105070315108626
begin,6,6.250260427517813e-05,13.965724171116342,5,VB,v,1,{'v'},2,"{'VB', 'VBP'}",False,begin,begin,begin,5,1.4854268271702418,0.5305095811322292
beginning,7,7.291970498770782e-05,13.743331749779896,9,NN,n,2,"{'v', 'n'}",2,"{'NN', 'VBG'}",False,begin,begin,begin,5,1.4854268271702418,0.5305095811322292
begone,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,begon,begon,begon,1,3.807354922057604,0.2719539230041146
begun,3,3.1251302137589066e-05,14.965724171116342,5,VBN,v,1,{'v'},1,{'VBN'},False,begun,begun,begun,2,2.807354922057604,0.40105070315108626
beh,2,2.083420142505938e-05,15.550686671837498,3,NN,n,1,{'n'},2,"{'NN', 'NNP'}",False,beh,beh,beh,1,3.807354922057604,0.2719539230041146
behalf,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,behalf,behalf,behalf,1,3.807354922057604,0.2719539230041146
behave,2,2.083420142505938e-05,15.550686671837498,6,NNP,n,1,{'n'},1,{'NNP'},False,behav,behav,behav,2,2.807354922057604,0.40105070315108626
behaved,1,1.041710071252969e-05,16.5506866718375,7,VBN,v,1,{'v'},1,{'VBN'},False,behav,behav,behav,1,3.807354922057604,0.2719539230041146
behaving,1,1.041710071252969e-05,16.5506866718375,8,VBG,v,1,{'v'},1,{'VBG'},False,behav,behav,behav,1,3.807354922057604,0.2719539230041146
behavior,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,behavior,behavior,behavy,1,3.807354922057604,0.2719539230041146
behind,31,0.0003229301220884,11.596490361450623,6,IN,x,3,"{'r', 'n', 'x'}",3,"{'RB', 'NN', 'IN'}",False,behind,behind,behind,10,0.48542682717024166,0.34673344797874406
